target,metric,source,mean,sem,n
pic,cat_indep_bal_acc,within,0.30833357249474985,0.027124469893876967,6
pic,cat_indep_bal_acc,cross,0.18610950338257068,0.012448613783098415,6
pic,cat_indep_bal_acc,pooled,0.3017187787803967,0.02565779971212595,6
pic,word_bal_acc,within,0.04593267808033955,0.004508877508346547,6
pic,word_bal_acc,cross,0.017645229843688316,0.0012053839013302513,6
pic,word_bal_acc,pooled,0.042994743721202926,0.0040730198136529885,6
pic,cosine_mean,within,0.09526684429614447,0.02051122121884696,6
pic,cosine_mean,cross,0.0014750157405472666,0.006485540273365363,6
pic,cosine_mean,pooled,0.08987329747830343,0.020364588991842587,6
aud,cat_indep_bal_acc,within,0.2952597594508091,0.022776673828131696,6
aud,cat_indep_bal_acc,cross,0.18633987652990966,0.00991347075533994,6
aud,cat_indep_bal_acc,pooled,0.2305213144878635,0.021767667648689745,6
aud,word_bal_acc,within,0.034173512927273136,0.007355372303767275,6
aud,word_bal_acc,cross,0.022668719299127487,0.008586021163053889,6
aud,word_bal_acc,pooled,0.02679361795415335,0.0074546670225973215,6
aud,cosine_mean,within,0.04268844204094354,0.01805072190873499,6
aud,cosine_mean,cross,0.023893163202995765,0.014041993959633398,6
aud,cosine_mean,pooled,0.038481854356797233,0.012234333260094096,6
