target,metric,comparison,p_wilcoxon,p_ttest,n,stars
pic,cat_indep_bal_acc,within-cross,0.00390625,0.00016331632307578885,9,**
pic,cat_indep_bal_acc,within-pooled,0.00390625,4.7014730811899726e-05,9,**
pic,cat_indep_bal_acc,cross-pooled,0.00390625,0.0031886724461638633,9,**
pic,word_bal_acc,within-cross,0.00390625,0.00018525183863109316,9,**
pic,word_bal_acc,within-pooled,0.00390625,4.7611306299154614e-05,9,**
pic,word_bal_acc,cross-pooled,0.00390625,0.003854412152058177,9,**
pic,cosine_mean,within-cross,0.00390625,0.000246080091367281,9,**
pic,cosine_mean,within-pooled,0.00390625,1.1875903385022566e-05,9,**
pic,cosine_mean,cross-pooled,0.00390625,0.00445120528356076,9,**
aud,cat_indep_bal_acc,within-cross,0.00390625,0.0009016051906141195,9,**
aud,cat_indep_bal_acc,within-pooled,0.01171875,0.007825799957422837,9,*
aud,cat_indep_bal_acc,cross-pooled,0.00390625,0.002699944930580137,9,**
aud,word_bal_acc,within-cross,0.42578125,0.43678792419808554,9,n.s.
aud,word_bal_acc,within-pooled,0.359375,0.31872903060614455,9,n.s.
aud,word_bal_acc,cross-pooled,0.343252562436031,0.541286353213674,9,n.s.
aud,cosine_mean,within-cross,0.12890625,0.1599882061535761,9,n.s.
aud,cosine_mean,within-pooled,0.359375,0.47203889851326786,9,n.s.
aud,cosine_mean,cross-pooled,0.09765625,0.10019900849617343,9,n.s.
