word,freq_rank,log_freq,concreteness,is_stimulus,pos
abat,1317316,-6.119690296438454,,True,noun
abear,1911240,-6.281315453340173,,True,noun
abed,261658,-5.417735677287477,,True,noun
aboat,775253,-5.8894440157006525,,True,noun
abook,654814,-5.816118619338887,,True,noun
abus,380173,-5.579982412259468,,True,noun
acan,748625,-5.874264906214745,,True,noun
acar,684831,-5.835584045329618,,True,noun
adate,2151332,-6.332707639057471,,True,noun
adog,1800111,-6.255299527030395,,True,noun
ahead,1834,-3.263636068588108,,True,noun
airplane,12180,-4.085682943194615,,True,noun
akey,1123242,-6.050473720769762,,True,noun
amphibian,80079,-4.903524064471262,,True,noun
anear,1371112,-6.137073248556205,,True,noun
animal,2479,-3.3944516808262164,,True,noun
apple,4978,-3.6971421262754594,,True,noun
arm,3253,-3.51241754860084,,True,noun
banana,11213,-4.049760551762476,,True,noun
bank,1746,-3.2422929049829308,,True,noun
bat,8489,-3.928907690243953,,True,noun
beach,1780,-3.2506639194632436,,True,noun
bean,11648,-4.06628864526571,,True,noun
bear,3643,-3.5615783683009608,,True,noun
bed,1219,-3.0863598306747484,,True,noun
bee,13983,-4.145631415290328,,True,noun
berry,16446,-4.216086692421913,,True,noun
bicycle,9157,-3.9618006391916785,,True,noun
bike,2389,-3.3783979009481375,,True,noun
bird,4331,-3.636688447953283,,True,noun
boat,2633,-3.420615770625765,,True,noun
book,310,-2.4927603890268375,,True,noun
bus,2469,-3.392696953259666,,True,noun
cab,12153,-4.084719232011298,,True,noun
can,41,-1.6232492903979006,,True,noun
canoe,24242,-4.3845863614855185,,True,noun
car,354,-2.550228353055094,,True,noun
cat,2715,-3.433929765608464,,True,noun
chair,3463,-3.539577883345309,,True,noun
change,370,-2.569373909615046,,True,noun
cherry,9896,-3.995503570265006,,True,noun
chocolate,2989,-3.4756711883244296,,True,noun
cookie,7433,-3.871222556759707,,True,noun
cow,10354,-4.015150103229471,,True,noun
crab,16225,-4.210211471641834,,True,noun
crane,22438,-4.351003498566344,,True,noun
dairy,10626,-4.026410680578774,,True,noun
date,740,-2.869818207979328,,True,noun
deer,8738,-3.94146173934733,,True,noun
dog,1157,-3.0637085593914173,,True,noun
doggy,30149,-4.47928731647617,,True,noun
duck,10829,-4.03462845662532,,True,noun
ear,5100,-3.707655323531187,,True,noun
elk,28731,-4.458365857761262,,True,noun
excavator,66351,-4.821854018019943,,True,noun
fall,1213,-3.0842186867392387,,True,noun
fan,1460,-3.1646502159342966,,True,noun
fashion,1908,-3.280805928393667,,True,noun
field,835,-2.9222062774390163,,True,noun
fig,29145,-4.464578960565791,,True,noun
finger,4770,-3.6786094165589263,,True,noun
fish,1762,-3.246252312299322,,True,noun
flower,4193,-3.622628426129325,,True,noun
fly,2981,-3.474507639116976,,True,noun
foot,2082,-3.318689269947746,,True,noun
forward,942,-2.9745116927373285,,True,noun
free,195,-2.292256071356476,,True,noun
frog,16973,-4.229784197840634,,True,noun
fruit,3065,-3.4865721505183562,,True,noun
goat,14404,-4.158513262616432,,True,noun
grape,17200,-4.235553695852755,,True,noun
hammer,12123,-4.083645927695585,,True,noun
hand,529,-2.724275869600789,,True,noun
head,525,-2.7209857441537393,,True,noun
hill,5592,-3.747644819328248,,True,noun
hurricane,13683,-4.136213065513025,,True,noun
island,2921,-3.465680211598278,,True,noun
january,29504,-4.469895618975018,,True,noun
kale,34173,-4.5336958150954265,,True,noun
key,807,-2.907411360774586,,True,noun
knife,6313,-3.8003045775561985,,True,noun
ladder,12267,-4.088773767310448,,True,noun
lady,3362,-3.5267268673146357,,True,noun
lasagna,42183,-4.625147758323408,,True,noun
leaf,7843,-3.8945375849957466,,True,noun
leg,3208,-3.506369717095504,,True,noun
lemon,7094,-3.850952399793493,,True,noun
lime,12209,-4.086715663944882,,True,noun
lock,4773,-3.6788824146707357,,True,noun
lung,9634,-3.9838517189914717,,True,noun
man,309,-2.4913616938342726,,True,noun
mango,22637,-4.354838055584639,,True,noun
match,1416,-3.1513698502474603,,True,noun
milk,2968,-3.472610197596045,,True,noun
mint,11972,-4.078202982503686,,True,noun
miss,1859,-3.2695129442179165,,True,noun
moose,29484,-4.469601132113826,,True,noun
mountain,3554,-3.550839605065785,,True,noun
mouse,4431,-3.646599751720373,,True,noun
mouth,2308,-3.3634239329171765,,True,noun
muscle,3861,-3.5868122694433757,,True,noun
nail,7337,-3.865577707419929,,True,noun
nose,4566,-3.6596310116070008,,True,noun
note,1255,-3.0989896394011773,,True,noun
nut,10687,-4.028896445131471,,True,noun
ocean,4915,-3.6916118742144164,,True,noun
orange,4356,-3.639187559935754,,True,noun
park,1933,-3.286456469746983,,True,noun
peach,20025,-4.301594211829356,,True,noun
pear,23678,-4.374363357525028,,True,noun
pizza,5964,-3.775610448006361,,True,noun
plane,3957,-3.5974757898703773,,True,noun
plateau,27273,-4.435748836164376,,True,noun
river,3179,-3.5024271199844326,,True,noun
salamander,96483,-4.984455299998372,,True,noun
save,962,-2.9836262871245345,,True,noun
saving,3941,-3.5957166199434245,,True,noun
saw,795,-2.900913067737669,,True,noun
screwdriver,32683,-4.514335201826775,,True,noun
seal,7057,-3.8486816540239506,,True,noun
semi,14514,-4.161817040167692,,True,noun
semitruck,1207694,-6.0819572682737295,,True,noun
shark,14246,-4.153723424301681,,True,noun
sky,4027,-3.6050894618815805,,True,noun
slinky,79448,-4.900088435247425,,True,noun
soup,6295,-3.799064719351008,,True,noun
spring,2085,-3.319314304090512,,True,noun
strawberry,16759,-4.224274014294258,,True,noun
subway,14758,-4.169056932744852,,True,noun
