quantity,value,detail
semantic_peak_time_s,1.1,group category-accuracy peak bin used for the model comparison
peakdiff_r2_GloVe>DINOv3,** (12/12),"Δ(lang−vis)=+0.0202±0.0033, Wilcoxon greater p=0.0002441, FDR q=0.001465"
peakdiff_r2_GloVe>MoCo,** (11/12),"Δ(lang−vis)=+0.0128±0.0024, Wilcoxon greater p=0.0004883, FDR q=0.001953"
peakdiff_r2_Word2Vec>DINOv3,** (12/12),"Δ(lang−vis)=+0.0166±0.0031, Wilcoxon greater p=0.0002441, FDR q=0.001465"
peakdiff_r2_Word2Vec>MoCo,** (11/12),"Δ(lang−vis)=+0.0092±0.0020, Wilcoxon greater p=0.0007324, FDR q=0.002197"
peakdiff_category_GloVe>DINOv3,** (9/12),"Δ(lang−vis)=+0.0190±0.0046, Wilcoxon greater p=0.003418, FDR q=0.008203"
peakdiff_category_GloVe>MoCo,* (10/12),"Δ(lang−vis)=+0.0080±0.0030, Wilcoxon greater p=0.01709, FDR q=0.0293"
peakdiff_category_Word2Vec>DINOv3,* (9/12),"Δ(lang−vis)=+0.0123±0.0045, Wilcoxon greater p=0.01709, FDR q=0.0293"
peakdiff_category_Word2Vec>MoCo,n.s. (7/12),"Δ(lang−vis)=+0.0013±0.0039, Wilcoxon greater p=0.425, FDR q=0.5101"
peakdiff_word_GloVe>DINOv3,n.s. (7/12),"Δ(lang−vis)=+0.0022±0.0012, Wilcoxon greater p=0.1018, FDR q=0.1527"
peakdiff_word_GloVe>MoCo,n.s. (8/12),"Δ(lang−vis)=+0.0021±0.0014, Wilcoxon greater p=0.1331, FDR q=0.1774"
peakdiff_word_Word2Vec>DINOv3,n.s. (4/12),"Δ(lang−vis)=+0.0003±0.0018, Wilcoxon greater p=0.6614, FDR q=0.6614"
peakdiff_word_Word2Vec>MoCo,n.s. (7/12),"Δ(lang−vis)=+0.0002±0.0012, Wilcoxon greater p=0.575, FDR q=0.6272"
prefers_language_category,11/12,"Wilcoxon greater p=0.0007324, mean Δ=0.0056"
prefers_language_word,8/12,"Wilcoxon greater p=0.08813, mean Δ=0.0008"
family_lang_gt_vis_sig_bins_r2,36,"FDR q<0.05; window [0.3, 3.9]s"
family_lang_gt_vis_sig_bins_category,20,"FDR q<0.05; window [0.4, 3.9]s"
family_lang_gt_vis_sig_bins_word,6,"FDR q<0.05; window [2.9, 3.6]s"
family_lang_gt_vis_sig_bins_cosine,37,"FDR q<0.05; window [0.3, 3.9]s"
