bin_index,time_s,mean,sem,count,family,diff,p_one,q,significant
0,-1.0,0.003121222117605823,0.004225201582713863,12,language,0.0010097866905648609,0.32909035813620047,,False
1,-0.9,-0.0013681603598159977,0.002902510287357443,12,language,-0.002217273860535298,0.8538815697157172,,False
2,-0.8,0.00043366486299606144,0.0030247463299903866,12,language,-0.001838004175025237,0.707746795589422,,False
3,-0.7,0.0023063445153890965,0.0036094316762436515,12,language,0.0017292945893090383,0.2289785833809374,,False
4,-0.6,0.002200126893508788,0.003393606728019325,12,language,-0.0006372362520946558,0.6007755638421031,,False
5,-0.5,0.005130146641116357,0.0030875112484232696,12,language,-0.000768360064182789,0.6717322613970782,,False
6,-0.4,0.005743515034371087,0.0031675137804009755,12,language,-0.0018311582018270013,0.7658339493668548,,False
7,-0.3,0.005204663701204773,0.0031041839441854915,12,language,-0.00025919177420518036,0.5392571541812392,,False
8,-0.2,0.004743027686013538,0.0030245201102925955,12,language,-0.001210311337039875,0.7209079569374437,,False
9,-0.1,0.005670985209169908,0.0031282232306839644,12,language,-0.0024961158235217245,0.8833553574187302,,False
10,0.0,0.0030257305368049567,0.003195945531001217,12,language,-0.002057460015766021,0.8155244235043659,0.8155244235043659,False
11,0.1,0.003320658280111289,0.00443496595280947,12,language,-0.0004250979392377916,0.5530721147520197,0.5672534510277125,False
12,0.2,0.02187426030578904,0.0077821260776541395,12,language,0.0026648637320729556,0.19958087425436882,0.24191621121741677,False
13,0.3,0.05114742020942758,0.012317605035945376,12,language,0.003783141021922764,0.032866322666973466,0.05715882202951907,False
14,0.4,0.0802466562608488,0.015448320672340775,12,language,0.00565654706480809,0.002752074151187166,0.011001718363159267,True
15,0.5,0.09970210482415437,0.016196988787648345,12,language,0.00626508693564029,0.011408460931622007,0.028521152329055017,True
16,0.6,0.11073916086290934,0.017103116293163263,12,language,0.007040466670858436,0.05283801035044139,0.07827853385250576,False
17,0.7,0.11994098177398897,0.018355990322033423,12,language,0.00907742118115443,0.012985918189119216,0.03055510162145698,True
18,0.8,0.12295837896751499,0.01785408311207642,12,language,0.006432699505467123,0.05965481015497713,0.08522115736425305,False
19,0.9,0.1296216652068349,0.01702008524216709,12,language,0.010578736232207892,0.00029780284398227996,0.002451808724026804,True
20,1.0,0.12915320620176943,0.01791480784665826,12,language,0.009369247763987433,0.0018926893480815546,0.008411952658140242,True
21,1.1,0.1333866974340492,0.017995139828030183,12,language,0.010132181141609476,0.00036777130860402057,0.002451808724026804,True
22,1.2,0.12761676845843042,0.017892283427041217,12,language,0.009260866859040925,0.004749228621429907,0.014613011142861251,True
