bin_index,time_s,mean,sem,count,family,diff,p_one,q,significant
0,-0.5,0.00020796302190615755,0.0019535046912244483,14,language,0.002064396916909312,0.0016699856207578686,,False
1,-0.4,-0.0022138654621793505,0.0023038375858039696,14,language,4.9988669633426525e-05,0.4730794288589426,,False
2,-0.3,-0.003509126048985033,0.002895442868926897,14,language,0.00045112826202015847,0.29563565621902366,,False
3,-0.2,-0.005993197937389569,0.0031318814211256586,14,language,-0.0006123639158148219,0.7067291023103907,,False
4,-0.1,-0.007820641124622808,0.003040762184687406,14,language,-0.0016265975600026975,0.9159331457281428,,False
5,0.0,-0.004238032549787943,0.0036028832178926994,14,language,-0.0003273115297477923,0.5964130115259948,0.6545996467968236,False
6,0.1,-0.004368929387448703,0.003316354945189063,14,language,-3.4021767300963495e-05,0.5100676672537734,0.5885396160620462,False
7,0.2,-0.005767711336310753,0.003005560873015615,14,language,-0.000564248656258066,0.6905392243006253,0.7226573277564683,False
8,0.3,-0.00478147238791393,0.0029564162939340532,14,language,-0.0007832974526913972,0.752816684184379,0.7699261542794785,False
9,0.4,-0.004579189583207315,0.0030740654792675154,14,language,-0.0003221480488856437,0.6130602725256817,0.6568502919918019,False
10,0.5,-0.0042332552618542674,0.002690830689947132,14,language,-7.266158250503642e-05,0.5270205808317678,0.5928981534357388,False
11,0.6,-0.0045154460903130255,0.00257991942941001,14,language,-0.0009440273462434281,0.8190636566415973,0.8190636566415973,False
12,0.7,0.009109505073866916,0.0034090841960961447,14,language,0.004164568797586092,0.004253737690657649,0.006174780518696587,True
13,0.8,0.024784971514033943,0.004748416136331198,14,language,0.009786005962028194,1.4574841456929098e-07,3.6437103642322745e-07,True
14,0.9,0.034749993368430654,0.005039184230395358,14,language,0.01322718504077564,2.1348210251558414e-13,1.372384944743041e-12,True
15,1.0,0.04225970297120152,0.005566747995779997,14,language,0.01592120193619122,3.754650886309004e-14,2.815988164731753e-13,True
16,1.1,0.047469524212198015,0.005647416682007736,14,language,0.017690836291252572,3.33131074462371e-23,3.7477245877016735e-22,True
17,1.2,0.04724003120640082,0.006060236347253759,14,language,0.01753826572587015,2.511752133258876e-24,3.767628199888314e-23,True
18,1.3,0.04267937876871501,0.005875455374120733,14,language,0.01624334003466527,1.4896674683404262e-38,6.703503607531918e-37,True
19,1.4,0.03713206744959983,0.006080971183076002,14,language,0.014365387276790318,1.1691336252584273e-24,2.6305506568314613e-23,True
20,1.5,0.030229673836045325,0.006114179158147375,14,language,0.011481520297451756,1.634445599347917e-14,1.4710010394131254e-13,True
21,1.6,0.025862564731069043,0.005928471723229272,14,language,0.010021608698300195,1.143429900263273e-11,6.43179318898091e-11,True
22,1.7,0.021167975869788462,0.00484935035031835,14,language,0.008766988222355122,1.3691392308622201e-07,3.624192081694112e-07,True
23,1.8,0.018852604292897823,0.004641727788520065,14,language,0.008585323515145717,6.45155921059923e-08,1.935467763179769e-07,True
24,1.9,0.016305793732862967,0.004084253535172544,14,language,0.008075440159471222,4.117458713393673e-06,8.422074641032514e-06,True
25,2.0,0.013327608549225323,0.0036390625289327563,14,language,0.006440764811586516,1.4767719523101414e-06,3.3227368926978183e-06,True
26,2.1,0.012575004950954899,0.0032657736962590183,14,language,0.005797485502040098,0.0005592922306806197,0.0009680057838703034,True
27,2.2,0.013630064635908906,0.0028563030795005144,14,language,0.006495166659947488,2.454602296868133e-06,5.2598620647174274e-06,True
28,2.3,0.013242970444412106,0.0023798178873208294,14,language,0.006428139970800999,1.8594548178924646e-08,5.976819057511493e-08,True
29,2.4,0.013839187537127182,0.002473411365288272,14,language,0.006376605494334324,2.0255155339820374e-10,1.0127577669910186e-09,True
30,2.5,0.014998361378218191,0.0027083663147345785,14,language,0.007912425508591064,8.841624344781198e-08,2.4867068469697117e-07,True
31,2.6,0.015421685913256886,0.002558927753459744,14,language,0.008974776649344225,2.4717630231676294e-09,9.269111336878611e-09,True
32,2.7,0.015285684677958466,0.0024700238874880297,14,language,0.008097252105397698,1.4467965533771972e-09,5.918713172906716e-09,True
33,2.8,0.014396417977922179,0.0032018493104144356,14,language,0.007390748087143113,6.5597202677727065e-09,2.2706724003828603e-08,True
34,2.9,0.014102307002645005,0.003230934546866765,14,language,0.0067589509134536666,2.3970319976657733e-10,1.0786643989495981e-09,True
35,3.0,0.011757814001753885,0.0030212623642333087,14,language,0.005662450716240464,4.30380483066704e-07,1.0193221967369305e-06,True
36,3.1,0.008890270498626758,0.002841185327570671,14,language,0.0034690863852290576,0.0003991194528007777,0.0007184150150413998,True
37,3.2,0.008087783350363689,0.002825086546628892,14,language,0.00372659455356291,0.0018511815209694077,0.003085302534949013,True
38,3.3,0.007365655576525529,0.003087483757768577,14,language,0.003331050491189503,0.004039166057176657,0.006058749085764986,True
39,3.4,0.006220626937251743,0.003441671514894511,14,language,0.002416729708222259,0.019395020746410387,0.02424377593301298,True
40,3.5,0.006314301099485553,0.0038228160938417674,14,language,0.003203414148081174,0.0001509340820850589,0.00028300140390948546,True
41,3.6,0.005881732195112238,0.0032753779104917127,14,language,0.004206959574054995,4.949370801780379e-05,9.683551568700742e-05,True
42,3.7,0.00471052574179111,0.003577357956765498,14,language,0.0024003969257269313,0.03678299238432765,0.04473607181877687,True
43,3.8,0.0058882292647604905,0.003217886357286933,14,language,0.0032683912059635147,0.008927191764719766,0.011477817983211127,True
44,3.9,0.005729105271689781,0.003374834072541025,14,language,0.002518805115934853,0.0641160213392652,0.07592686737544563,False
45,4.0,0.005046344688049903,0.0032752414635883443,14,language,0.0027173053266830193,0.006520745215047185,0.008891925293246162,True
46,4.1,0.005220862596936757,0.0035039661494643244,13,language,0.003996727782275771,0.00220858954629728,0.003549518913692057,True
