metric,pair,a_model,b_model,bin_index,peak_time_s,mean_diff,sem,n,n_pos,wilcoxon_p,q,star
r2,GloVe>DINOv3,GloVe,DINOv3,21,1.1,0.020239116069122234,0.003344419558942687,12,12,0.000244140625,0.00146484375,**
r2,GloVe>MoCo,GloVe,MoCo,21,1.1,0.012822693436902002,0.0023524360194137383,12,11,0.00048828125,0.001953125,**
r2,Word2Vec>DINOv3,Word2Vec,DINOv3,21,1.1,0.016625861056695418,0.003082496307755543,12,12,0.000244140625,0.00146484375,**
r2,Word2Vec>MoCo,Word2Vec,MoCo,21,1.1,0.009209438424475185,0.0019913708602200026,12,11,0.000732421875,0.002197265625,**
category,GloVe>DINOv3,GloVe,DINOv3,21,1.1,0.019006465998791203,0.004640017637908758,12,9,0.00341796875,0.008203125,**
category,GloVe>MoCo,GloVe,MoCo,21,1.1,0.007975076600162079,0.0030187995677719136,12,10,0.01708984375,0.029296874999999997,*
category,Word2Vec>DINOv3,Word2Vec,DINOv3,21,1.1,0.012289285683056872,0.00450987839720199,12,9,0.01708984375,0.029296874999999997,*
category,Word2Vec>MoCo,Word2Vec,MoCo,21,1.1,0.001257896284427749,0.0039038384243934715,12,7,0.425048828125,0.51005859375,n.s.
word,GloVe>DINOv3,GloVe,DINOv3,21,1.1,0.0022313926459955587,0.0011841805557678941,12,7,0.101806640625,0.1527099609375,n.s.
word,GloVe>MoCo,GloVe,MoCo,21,1.1,0.0020853330766852584,0.0013894690286616017,12,8,0.133056640625,0.17740885416666666,n.s.
word,Word2Vec>DINOv3,Word2Vec,DINOv3,21,1.1,0.00033735858629066847,0.001816588569420757,12,4,0.661376953125,0.661376953125,n.s.
word,Word2Vec>MoCo,Word2Vec,MoCo,21,1.1,0.0001912990169803683,0.0011637253875234274,12,7,0.574951171875,0.6272194602272727,n.s.
