embedding,bin_index,time_s,mean,sem,count,family
DINOv3,0,-0.5,0.004441743801463667,0.002543826363017112,14,vision
DINOv3,1,-0.4,0.005955244385351556,0.0026805610275616194,14,vision
DINOv3,2,-0.3,0.0057647522848591854,0.0028160121561324144,14,vision
DINOv3,3,-0.2,0.006365414143333764,0.003160042299675782,14,vision
DINOv3,4,-0.1,0.006761991867232657,0.003177661382339477,14,vision
DINOv3,5,0.0,0.004124419783518543,0.0025810459354115778,14,vision
DINOv3,6,0.1,0.003626103930133586,0.0024857119805084863,14,vision
DINOv3,7,0.2,0.0035301395555732357,0.0026677159101535534,14,vision
DINOv3,8,0.3,0.0037252879260012,0.002732587419622568,14,vision
DINOv3,9,0.4,0.005660294158469514,0.002710002672833047,14,vision
DINOv3,10,0.5,0.004323356304285107,0.002215233658443844,14,vision
DINOv3,11,0.6,0.002165659825292221,0.0021946061283614365,14,vision
DINOv3,12,0.7,0.020735491168095928,0.004315642279810486,14,vision
DINOv3,13,0.8,0.04093026636482403,0.0073249848205744995,14,vision
DINOv3,14,0.9,0.055644897451394344,0.008063903024574201,14,vision
DINOv3,15,1.0,0.06541036229779948,0.008711195233068339,14,vision
DINOv3,16,1.1,0.07211131508489148,0.009090400680906354,14,vision
DINOv3,17,1.2,0.07089790630551816,0.00982266889455704,14,vision
DINOv3,18,1.3,0.06414004077397031,0.009957646889671618,14,vision
DINOv3,19,1.4,0.05362893971001313,0.00950836942835236,14,vision
DINOv3,20,1.5,0.04429125590509269,0.00921534823272925,14,vision
DINOv3,21,1.6,0.03666125032334238,0.008308522412942063,14,vision
DINOv3,22,1.7,0.03103607378709122,0.007137847932560719,14,vision
DINOv3,23,1.8,0.025601739806393634,0.006867892221902973,14,vision
DINOv3,24,1.9,0.021886319077632443,0.0061847297415357615,14,vision
DINOv3,25,2.0,0.018582400982884544,0.00613063366212688,14,vision
DINOv3,26,2.1,0.01823591409127087,0.006004601595703042,14,vision
DINOv3,27,2.2,0.017534524720695437,0.00609699427220777,14,vision
DINOv3,28,2.3,0.017017628590053627,0.005584305957982617,14,vision
DINOv3,29,2.4,0.01827355132410458,0.005532819951098025,14,vision
DINOv3,30,2.5,0.017412295790925927,0.005062352241985952,14,vision
DINOv3,31,2.6,0.014486044469312922,0.005131195195529197,14,vision
DINOv3,32,2.7,0.015170992586652244,0.004743427054458817,14,vision
DINOv3,33,2.8,0.013847702576663401,0.005068723915246088,14,vision
DINOv3,34,2.9,0.01460431901536073,0.0053066007253940485,14,vision
DINOv3,35,3.0,0.014454262350363706,0.004893157445842792,14,vision
DINOv3,36,3.1,0.014166024373430857,0.004456468879456817,14,vision
DINOv3,37,3.2,0.01388369787332615,0.004232583054308499,14,vision
DINOv3,38,3.3,0.01378267629004735,0.004430266048736289,14,vision
DINOv3,39,3.4,0.014131517314521492,0.004677647343702265,14,vision
DINOv3,40,3.5,0.0152720164148006,0.005002993895619788,14,vision
DINOv3,41,3.6,0.0151240771056388,0.004648388447095584,14,vision
DINOv3,42,3.7,0.015488783611148657,0.005394854870181655,14,vision
DINOv3,43,3.8,0.017883338621618294,0.0049832912280029515,14,vision
DINOv3,44,3.9,0.01959629805356868,0.0044154556731233864,14,vision
DINOv3,45,4.0,0.01732996605393316,0.0038845192703379594,14,vision
DINOv3,46,4.1,0.016191246707311015,0.003658762173413847,13,vision
DINOv3,47,4.2,0.017401252507115876,0.0038513546981752546,13,vision
DINOv3,48,4.3,0.01582091294615473,0.0034836708215279107,13,vision
DINOv3,49,4.4,0.013589740472180839,0.0028056753956075707,13,vision
GloVe,0,-0.5,0.0047101964445096,0.0026447770532731533,14,language
GloVe,1,-0.4,0.0023299973361035355,0.003791987470348845,14,language
GloVe,2,-0.3,0.007007841015100658,0.0035514212560462887,14,language
GloVe,3,-0.2,0.006588596193853478,0.003447261297681071,14,language
GloVe,4,-0.1,0.005546392965899728,0.003368169483994694,14,language
GloVe,5,0.0,0.0030656387096455783,0.002159539803135,14,language
GloVe,6,0.1,0.005464255774174758,0.0027468944441305094,14,language
GloVe,7,0.2,0.0026493132563929285,0.0023944539931019305,14,language
GloVe,8,0.3,0.0037096909960129,0.0025117837815220563,14,language
