metric,bin_index,time_s,diff,p_one,q,significant
r2,0,-1.0,-0.0002337511129216666,0.5853135952088764,,False
r2,1,-0.9,-0.0027544357691865052,0.9999475937312658,,False
r2,2,-0.8,-0.002188669519741769,0.9595454835185596,,False
r2,3,-0.7,-0.001939382964593137,0.9397310726364607,,False
r2,4,-0.6,-0.002133747171606246,0.9609435679426251,,False
r2,5,-0.5,-0.0031395877797151385,0.9966513517131936,,False
r2,6,-0.4,-0.0028320545459302117,0.9846456401615552,,False
r2,7,-0.3,-0.0027378661100669493,0.9941707140066803,,False
r2,8,-0.2,-0.0023911281632193544,0.991282785652531,,False
r2,9,-0.1,-0.002497446553605663,0.9837267739387984,,False
r2,10,0.0,-0.002248934805149258,0.9589867825500193,0.9589867825500193,False
r2,11,0.1,-0.0008656909787148774,0.7461650264982063,0.7652974630750834,False
r2,12,0.2,0.00010424252495926289,0.46558392390199904,0.4900883409494727,False
r2,13,0.3,0.004056206184343717,0.0003182211775715825,0.0008485898068575533,True
r2,14,0.4,0.008516129222217025,1.0618754573465078e-06,3.5395848578216927e-06,True
r2,15,0.5,0.010430306045133663,1.040058948018791e-07,3.782032538250149e-07,True
r2,16,0.6,0.011644755892473171,8.110216918995697e-08,3.244086767598279e-07,True
r2,17,0.7,0.01263265518131742,2.1582906333742204e-10,1.7266325066993763e-09,True
r2,18,0.8,0.014065699577748303,4.849797515450634e-14,1.9399190061802536e-12,True
r2,19,0.9,0.01431736299106646,8.333824082000066e-12,1.1111765442666756e-10,True
r2,20,1.0,0.014554482043604738,3.7763008284332227e-10,2.5175338856221485e-09,True
r2,21,1.1,0.014724277246798709,9.743075919598766e-11,9.743075919598766e-10,True
r2,22,1.2,0.015250480460296834,2.2840704690867425e-12,4.568140938173485e-11,True
r2,23,1.3,0.013505235099388951,2.006970584081906e-09,1.1468403337610892e-08,True
r2,24,1.4,0.011706129866722906,1.122051642910094e-08,5.61025821455047e-08,True
r2,25,1.5,0.009040559589989358,2.1668862865090835e-08,9.630605717818149e-08,True
r2,26,1.6,0.008527382978665813,1.0780789406410552e-05,3.3171659712032464e-05,True
r2,27,1.7,0.0070988877234936625,0.0005292787277828986,0.0012453617124303497,True
r2,28,1.8,0.006217944912962921,0.000514983904678856,0.0012453617124303497,True
r2,29,1.9,0.005788532465267206,0.0020569239265534134,0.004113847853106827,True
r2,30,2.0,0.005533891345682156,0.009380764757297645,0.012838127977199206,True
r2,31,2.1,0.006014077461767207,0.005095985829199015,0.007839978198767715,True
r2,32,2.2,0.005908557309111946,0.0041099120723692385,0.007147673169337807,True
r2,33,2.3,0.004458033461152359,0.003863293048145169,0.007024169178445762,True
r2,34,2.4,0.0048393583723198505,0.00026068481328274477,0.0007448137522364137,True
r2,35,2.5,0.0048022355332055745,0.004928780739682481,0.007839978198767715,True
r2,36,2.6,0.004102362002065367,0.004513833558378552,0.00752305593063092,True
r2,37,2.7,0.004565813457047861,0.0006088060595988283,0.0013529023546640629,True
r2,38,2.8,0.004342136690570104,0.0009599007168456971,0.002020843614411994,True
r2,39,2.9,0.004674537847851997,0.0030665342851924986,0.005841017686080949,True
r2,40,3.0,0.005099861406548451,0.0060089223114999455,0.008584174730714208,True
r2,41,3.1,0.004083272203521345,0.009628595982899404,0.012838127977199206,True
r2,42,3.2,0.0030990855701773738,0.02279037573430575,0.02681220674624206,True
r2,43,3.3,0.0031906283852536094,0.054152645585151336,0.058543400632596033,False
r2,44,3.4,0.004492713208750697,0.018434973389570185,0.022345422290388106,True
r2,45,3.5,0.004969411651757997,0.005430147410484252,0.00804466283034704,True
r2,46,3.6,0.004205981323194421,0.014929926704453608,0.019264421554133687,True
r2,47,3.7,0.003634147714690929,0.02359723332260563,0.026968266654406433,True
r2,48,3.8,0.003443513860529344,0.028651529001127163,0.03183503222347463,True
r2,49,3.9,0.004084584220413054,0.01631630729760992,0.0203953841220124,True
cosine,0,-1.0,-0.0025262512293620747,0.8988747647921782,,False
cosine,1,-0.9,-0.00500315655202697,0.9979799042419378,,False
cosine,2,-0.8,-0.0037590683456950624,0.9848181669482935,,False
cosine,3,-0.7,-0.001416794288995763,0.6771959851931728,,False
cosine,4,-0.6,-0.0013648190249577524,0.6861439081222926,,False
cosine,5,-0.5,-0.0010384081972259422,0.6560311059382029,,False
cosine,6,-0.4,-0.00023630618430252543,0.538101113513242,,False
cosine,7,-0.3,-0.0014731383978479997,0.7245176714476728,,False
cosine,8,-0.2,0.0003055780110926376,0.44132733412764,,False
cosine,9,-0.1,0.00027295896197484463,0.43770702542806983,,False
cosine,10,0.0,-0.0003739421617440537,0.5797142520833812,0.5797142520833812,False
cosine,11,0.1,0.0010479042258036491,0.3307572739041099,0.339238229645241,False
cosine,12,0.2,0.0018840032224982583,0.19829987499375917,0.20873671051974652,False
cosine,13,0.3,0.008312441759064504,0.0001756939971589626,0.00027029845716763473,True
cosine,14,0.4,0.014088453783043764,2.49847878614814e-07,7.687627034301969e-07,True
cosine,15,0.5,0.01715704187778751,4.0320000344961566e-08,1.466181830725875e-07,True
cosine,16,0.6,0.018389031846315563,4.556138821913545e-06,1.0124752937585655e-05,True
cosine,17,0.7,0.020312473398600966,2.389834394104181e-09,1.5932229294027874e-08,True
cosine,18,0.8,0.022328032840280166,9.389563786818922e-11,2.1324358249762227e-09,True
cosine,19,0.9,0.02289961287893009,7.092048142391988e-09,4.052598938509707e-08,True
cosine,20,1.0,0.02169669353791853,6.545260674736332e-07,1.7454028465963552e-06,True
cosine,21,1.1,0.02383859652126183,1.6489604999906235e-09,1.3191683999924988e-08,True
cosine,22,1.2,0.024280859490354013,2.522307465730368e-10,3.3630766209738238e-09,True
cosine,23,1.3,0.02271631839077749,1.2644591530873488e-08,5.6198184581659944e-08,True
cosine,24,1.4,0.02070145608320327,8.827964598882462e-09,4.413982299441231e-08,True
cosine,25,1.5,0.016477471073223077,4.4981311149913633e-07,1.285180318568961e-06,True
cosine,26,1.6,0.015695111395531203,8.925858725587075e-06,1.8791281527551736e-05,True
cosine,27,1.7,0.013836814739330565,9.20992218240732e-05,0.000167453130589224,True
cosine,28,1.8,0.012647769847512915,0.00031362077704553634,0.0004480296814936234,True
cosine,29,1.9,0.011311949190041118,0.0016452505234413075,0.0019355888511074207,True
cosine,30,2.0,0.01101247648668357,0.00344035123115319,0.0037192986282737184,True
cosine,31,2.1,0.010872491335124718,0.001521663806660085,0.0018444409777698002,True
cosine,32,2.2,0.011313647608876013,0.0011542601627199398,0.0014428252033999247,True
cosine,33,2.3,0.010577296089608362,0.0007745384755477047,0.0009994044845776835,True
cosine,34,2.4,0.011768786107119115,0.00010546884866733534,0.00017578141444555892,True
cosine,35,2.5,0.011240057552872926,1.9271247493061546e-05,3.670713808202199e-05,True
cosine,36,2.6,0.010160921332267795,9.970926449122354e-05,0.00017340741650647573,True
cosine,37,2.7,0.010942982869109857,1.3332746902443327e-06,3.3331867256108316e-06,True
cosine,38,2.8,0.011435457302461307,2.252923823999694e-06,5.300997232940456e-06,True
cosine,39,2.9,0.01193426167280174,3.9939582847952087e-10,3.9939582847952085e-09,True
cosine,40,3.0,0.012908117851668718,1.0662179124881114e-10,2.1324358249762227e-09,True
cosine,41,3.1,0.011276371332920155,2.84480473348711e-08,1.137921893394844e-07,True
cosine,42,3.2,0.009026283010050908,6.704607012471584e-08,2.2348690041571948e-07,True
cosine,43,3.3,0.009545238708427368,0.0001638427307201297,0.0002621483691522075,True
cosine,44,3.4,0.00974637064619466,0.00022136742694612183,0.0003279517436238842,True
cosine,45,3.5,0.011480104120729815,1.419317843869447e-05,2.838635687738894e-05,True
cosine,46,3.6,0.011002090054853935,0.00043877021373266915,0.0006052002948036816,True
cosine,47,3.7,0.008562932027501467,0.002686827080730767,0.003070659520835162,True
cosine,48,3.8,0.007990657926327771,0.003300219425322295,0.0036669104725803275,True
cosine,49,3.9,0.009482715724823518,0.0006389282021114717,0.0008519042694819624,True
word,0,-1.0,0.001253865852043,0.1270651030943219,,False
word,1,-0.9,0.0010832149535575793,0.1702127739801188,,False
word,2,-0.8,-0.0005547464886928661,0.6845364831937519,,False
word,3,-0.7,0.001138698196394992,0.11296605421097972,,False
word,4,-0.6,-0.0014685744751352005,0.9040039781164607,,False
word,5,-0.5,-0.0014872293473945665,0.9130829561833138,,False
word,6,-0.4,-0.001089759335120867,0.8523312416297328,,False
word,7,-0.3,-0.0015163884743140288,0.8899041341338416,,False
word,8,-0.2,-0.0004981967867612752,0.7182956407641495,,False
word,9,-0.1,-0.0011890259286018786,0.9189975746713787,,False
word,10,0.0,1.8779182453796085e-06,0.49799914076673013,0.6224989259584126,False
word,11,0.1,-0.0007191777128914461,0.8099733311186654,0.8329053431298132,False
word,12,0.2,-0.0008157506542471708,0.8120827095515679,0.8329053431298132,False
word,13,0.3,-0.0003099285970172677,0.6280011603329472,0.7014024960704794,False
word,14,0.4,-0.0012185683378857042,0.8348258099959501,0.8348258099959501,False
word,15,0.5,-0.0003775994727219418,0.6312622464634315,0.7014024960704794,False
word,16,0.6,-0.00010956869354559638,0.5334139390680437,0.6465623503855076,False
word,17,0.7,0.0005898821833627974,0.23705129115840112,0.4502827092430236,False
word,18,0.8,0.0004855411196311601,0.3211988644783583,0.5139181831653733,False
word,19,0.9,0.00027117478985064073,0.39705376301851414,0.5294050173580188,False
word,20,1.0,-0.00022869767407198357,0.5587723294148387,0.6573792110762808,False
word,21,1.1,0.0012113458314879642,0.100563942362422,0.28732554960692,False
word,22,1.2,0.0002877770376251795,0.39486577709524506,0.5294050173580188,False
word,23,1.3,0.0009076975320069892,0.25563976003413086,0.4502827092430236,False
word,24,1.4,0.0015379400263454298,0.13303339894130073,0.31301976221482525,False
word,25,1.5,0.00013714044623945498,0.4487041453264617,0.5789730907438215,False
word,26,1.6,0.0004341809128702463,0.3758311197455295,0.5294050173580188,False
word,27,1.7,0.0008964462611971421,0.2532547265252837,0.4502827092430236,False
word,28,1.8,0.0011996836115174543,0.13085837009562723,0.31301976221482525,False
word,29,1.9,0.00024177478691437496,0.39166596069047127,0.5294050173580188,False
word,30,2.0,0.000613092083904321,0.27016962554581414,0.4502827092430236,False
word,31,2.1,0.0010211432304136128,0.1472403302977755,0.32720073399505667,False
word,32,2.2,-0.0004550461960097624,0.6711408453368987,0.725557670634485,False
word,33,2.3,0.0009021328014767587,0.2625289772593624,0.4502827092430236,False
word,34,2.4,0.0004939553047672666,0.3923369754628062,0.5294050173580188,False
word,35,2.5,0.001039119157595249,0.1293121303793091,0.31301976221482525,False
word,36,2.6,0.0012155873241593961,0.04729747870533308,0.2090166736340304,False
word,37,2.7,0.001799664389235596,0.0522541684085076,0.2090166736340304,False
word,38,2.8,0.001030702375782529,0.08675459743917979,0.27928075788218815,False
word,39,2.9,0.001571130944248196,0.0012302981070507015,0.013110151776540251,True
word,40,3.0,0.0026235493804568077,0.0007358168269147782,0.013110151776540251,True
word,41,3.1,0.0029406030209384697,2.3917007766554257e-05,0.0009566803106621703,True
word,42,3.2,0.0010949289540526381,0.09076624631171115,0.27928075788218815,False
word,43,3.3,0.001221993720422354,0.06222813710809878,0.22628413493854102,False
word,44,3.4,0.0015377710298188204,0.003998565963288264,0.02665710642192176,True
word,45,3.5,0.0022318539919262167,0.0013143465272618636,0.013110151776540251,True
word,46,3.6,0.0025825642385693417,0.0016387689720675314,0.013110151776540251,True
word,47,3.7,0.0004888233299122705,0.18032245152651577,0.3796262137400332,False
word,48,3.8,0.0013891344103091827,0.029943872241405625,0.1497193612070281,False
word,49,3.9,0.0020968396004250006,0.009679698853180506,0.05531256487531718,False
category,0,-1.0,0.0010097866905648609,0.32909035813620047,,False
category,1,-0.9,-0.002217273860535298,0.8538815697157172,,False
category,2,-0.8,-0.001838004175025237,0.707746795589422,,False
category,3,-0.7,0.0017292945893090383,0.2289785833809374,,False
category,4,-0.6,-0.0006372362520946558,0.6007755638421031,,False
category,5,-0.5,-0.000768360064182789,0.6717322613970782,,False
category,6,-0.4,-0.0018311582018270013,0.7658339493668548,,False
category,7,-0.3,-0.00025919177420518036,0.5392571541812392,,False
category,8,-0.2,-0.001210311337039875,0.7209079569374437,,False
category,9,-0.1,-0.0024961158235217245,0.8833553574187302,,False
category,10,0.0,-0.002057460015766021,0.8155244235043659,0.8155244235043659,False
category,11,0.1,-0.0004250979392377916,0.5530721147520197,0.5672534510277125,False
category,12,0.2,0.0026648637320729556,0.19958087425436882,0.24191621121741677,False
category,13,0.3,0.003783141021922764,0.032866322666973466,0.05715882202951907,False
category,14,0.4,0.00565654706480809,0.002752074151187166,0.011001718363159267,True
category,15,0.5,0.00626508693564029,0.011408460931622007,0.028521152329055017,True
category,16,0.6,0.007040466670858436,0.05283801035044139,0.07827853385250576,False
category,17,0.7,0.00907742118115443,0.012985918189119216,0.03055510162145698,True
category,18,0.8,0.006432699505467123,0.05965481015497713,0.08522115736425305,False
category,19,0.9,0.010578736232207892,0.00029780284398227996,0.002451808724026804,True
category,20,1.0,0.009369247763987433,0.0018926893480815546,0.008411952658140242,True
category,21,1.1,0.010132181141609476,0.00036777130860402057,0.002451808724026804,True
category,22,1.2,0.009260866859040925,0.004749228621429907,0.014613011142861251,True
category,23,1.3,0.010698444209043626,0.0018164660939017844,0.008411952658140242,True
category,24,1.4,0.013112476835936268,8.474201118121423e-07,1.6948402236242846e-05,True
category,25,1.5,0.007063350844097277,0.023652774611433027,0.047305549222866054,True
category,26,1.6,0.006154723053015974,0.0452633302042207,0.07242132832675312,False
category,27,1.7,0.0034729916746078886,0.16370812159258474,0.20463515199073093,False
category,28,1.8,0.006147659163822482,0.05207180616039016,0.07827853385250576,False
category,29,1.9,0.004716192940782912,0.14759880390691954,0.19045006955731553,False
