n_components,cat_bal_acc_mean,cat_bal_acc_sem,word_bal_acc_mean,word_bal_acc_sem,test_cosine_mean,test_cosine_sem,train_cosine_mean,train_cosine_sem,cosine_gap_mean,cosine_gap_sem
2,0.2552083243381919,0.012905447720371221,0.03239578910058479,0.0033647637314621888,0.08558745643895052,0.013000306564731095,0.17296837112900204,0.01428638488354408,0.08738091469005152,0.009293619656769371
4,0.29236427944507787,0.01818218368652925,0.04192713490658166,0.006065700022656784,0.11461263168169715,0.017621278354144267,0.24997873258899872,0.017528340205509942,0.13536610090730156,0.013639713224600294
6,0.3035905742200366,0.018067875262165627,0.04654904966819139,0.00779953064508961,0.12391473672109193,0.017514320067083842,0.3021634673969003,0.01923560610877643,0.17824873067580838,0.017760035084360176
8,0.30779105093395026,0.019471101201327765,0.04874208505303563,0.008348366802967036,0.12589769830449604,0.01656109678965855,0.3337360231975851,0.02075718976800136,0.20783832489308907,0.01929930492458222
10,0.3090264705646589,0.01923176891344584,0.05081620821508181,0.007754940541499224,0.12776199868863705,0.016083470721017134,0.3610705881626574,0.022215999809573856,0.23330858947402036,0.020055002444981943
15,0.31126765299239467,0.019368457821548623,0.05606594776326482,0.00912228189478728,0.12967416397481143,0.017231405016595727,0.4100214293547589,0.024363734458461916,0.2803472653799475,0.02259725807053883
20,0.3107483302652603,0.02065898291381055,0.058971241480054955,0.010516802786768713,0.1272669413636912,0.017083852188893474,0.44409515259768517,0.026619296651392982,0.31682821123399396,0.024838733293047494
25,0.30886939099038685,0.01902349574759432,0.05563032500834724,0.009877834128201073,0.12672095513941137,0.015971475253706905,0.4697559103523627,0.028409817522981017,0.34303495521295135,0.02566722181567825
30,0.3059770667751781,0.019001371276289987,0.059837197280458686,0.011309588344236397,0.1261756344343108,0.016217683856179967,0.48971453461752595,0.029792519298833323,0.36353890018321516,0.026851305925823504
35,0.3124448102307078,0.021274476049733464,0.05807542195671993,0.010335120082621746,0.1223080382179083,0.01626278280995841,0.5037466410559307,0.03028221956387047,0.3814386028380224,0.02772265805640829
